原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
'000798,7.33,匹配成功,000798,000798,中水渔业,0.0,7.33,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,中水渔业,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '中水渔业', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '中水渔业', 'price': np.float64(7.31), 'name_match': True}, 'eastmoney': {'found': True, 'name': '中水渔业', 'price': np.float64(0.0), 'name_match': True}}"
'002208,7.28,匹配成功,002208,002208,合肥城建,0.0,7.28,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,合肥城建,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '合肥城建', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '合肥城建', 'price': np.float64(7.31), 'name_match': True}, 'eastmoney': {'found': True, 'name': '合肥城建', 'price': np.float64(0.0), 'name_match': True}}"
'300457,20.95,匹配成功,300457,300457,赢合科技,0.0,20.95,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,赢合科技,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '赢合科技', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '赢合科技', 'price': np.float64(21.27), 'name_match': True}, 'eastmoney': {'found': True, 'name': '赢合科技', 'price': np.float64(0.0), 'name_match': True}}"
'300479,21.35,匹配成功,300479,300479,神思电子,0.0,21.35,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,神思电子,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '神思电子', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '神思电子', 'price': np.float64(21.46), 'name_match': True}, 'eastmoney': {'found': True, 'name': '神思电子', 'price': np.float64(0.0), 'name_match': True}}"
'301176,21.23,匹配成功,301176,301176,逸豪新材,0.0,21.23,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,逸豪新材,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '逸豪新材', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '逸豪新材', 'price': np.float64(21.23), 'name_match': True}, 'eastmoney': {'found': True, 'name': '逸豪新材', 'price': np.float64(0.0), 'name_match': True}}"
'301208,43.9,匹配成功,301208,301208,C中亦,0.0,43.9,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,C中亦,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'C中亦', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '中亦科技', 'price': np.float64(44.37), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'C中亦', 'price': np.float64(0.0), 'name_match': True}}"
'301292,15.97,匹配成功,301292,301292,海科新源,0.0,15.97,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,海科新源,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '海科新源', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '海科新源', 'price': np.float64(16.33), 'name_match': True}, 'eastmoney': {'found': True, 'name': '海科新源', 'price': np.float64(0.0), 'name_match': True}}"
'301380,34.75,匹配成功,301380,301380,挖金客,0.0,34.75,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,挖金客,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '挖金客', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '挖金客', 'price': np.float64(34.4), 'name_match': True}, 'eastmoney': {'found': True, 'name': '挖金客', 'price': np.float64(0.0), 'name_match': True}}"
'600775,10.89,匹配成功,600775,600775,南京熊猫,0.0,10.89,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,南京熊猫,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '南京熊猫', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '南京熊猫', 'price': np.float64(10.55), 'name_match': True}, 'eastmoney': {'found': True, 'name': '南京熊猫', 'price': np.float64(0.0), 'name_match': True}}"
'600855,13.41,匹配成功,600855,600855,航天长峰,0.0,13.41,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,航天长峰,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '航天长峰', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '航天长峰', 'price': np.float64(13.25), 'name_match': True}, 'eastmoney': {'found': True, 'name': '航天长峰', 'price': np.float64(0.0), 'name_match': True}}"
