原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
000852,6.84,匹配成功,000852,000852,石化机械,0.0,6.84,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000995,14.65,匹配成功,000995,000995,皇台酒业,0.0,14.65,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300079,5.73,匹配成功,300079,300079,数码视讯,0.0,5.73,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300120,9.02,匹配成功,300120,300120,经纬辉开,0.0,9.02,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300479,21.61,匹配成功,300479,300479,神思电子,0.0,21.61,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300505,18.7,匹配成功,300505,300505,川金诺,0.0,18.7,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300930,27.5,匹配成功,300930,300930,屹通新材,0.0,27.5,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301311,20.15,匹配成功,301311,301311,昆船智能,0.0,20.15,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600435,11.96,匹配成功,600435,600435,北方导航,0.0,11.96,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600458,12.84,匹配成功,600458,600458,时代新材,0.0,12.84,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600879,9.27,匹配成功,600879,600879,航天电子,0.0,9.27,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
