原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
000995,14.85,匹配成功,000995,000995,皇台酒业,0.0,14.85,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002148,7.17,匹配成功,002148,002148,北纬科技,0.0,7.17,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300079,5.74,匹配成功,300079,300079,数码视讯,0.0,5.74,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300120,9.03,匹配成功,300120,300120,经纬辉开,0.0,9.03,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600879,9.28,匹配成功,600879,600879,航天电子,0.0,9.28,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300236,37.59,匹配成功,300236,300236,上海新阳,0.0,37.59,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601668,5.8,匹配成功,601668,601668,中国建筑,0.0,5.8,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
