原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
000823,10.95,匹配成功,000823,000823,超声电子,0.0,10.95,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002319,12.63,匹配成功,002319,002319,乐通股份,0.0,12.63,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
003029,25.69,匹配成功,003029,003029,吉大正元,0.0,25.69,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300457,21.1,匹配成功,300457,300457,赢合科技,0.0,21.1,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300516,35.6,匹配成功,300516,300516,久之洋,0.0,35.6,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300722,32.78,匹配成功,300722,300722,新余国科,0.0,32.78,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300847,17.05,匹配成功,300847,300847,中船汉光,0.0,17.05,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300964,40.16,匹配成功,300964,300964,N本川,0.0,40.16,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300992,25.65,匹配成功,300992,300992,泰福泵业,0.0,25.65,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301132,32.43,匹配成功,301132,301132,N满坤,0.0,32.43,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301200,41.63,匹配成功,301200,301200,大族数控,0.0,41.63,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301251,37.3,匹配成功,301251,301251,威尔高,0.0,37.3,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600379,10.96,匹配成功,600379,600379,宝光股份,0.0,10.96,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601089,18.5,匹配成功,601089,601089,福元医药,0.0,18.5,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601658,5.52,匹配成功,601658,601658,邮储银行,0.0,5.52,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601869,37.1,匹配成功,601869,601869,长飞光纤,0.0,37.1,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
603685,14.12,匹配成功,603685,603685,晨丰科技,0.0,14.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
605058,25.55,匹配成功,605058,605058,澳弘电子,0.0,25.55,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
605580,12.29,匹配成功,605580,605580,N恒盛,0.0,12.29,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688082,109.38,匹配成功,688082,688082,盛美上海,0.0,109.38,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688267,27.53,匹配成功,688267,688267,中触媒,0.0,27.53,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688623,64.6,匹配成功,688623,688623,双元科技,0.0,64.6,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688630,77.71,匹配成功,688630,688630,芯碁微装,0.0,77.71,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
