原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
000548,5.34,匹配成功,000548,000548,湖南投资,0.0,5.34,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,100.0%,100.0%,4,湖南投资,"{'akshare': {'found': True, 'name': '湖南投资', 'price': np.float64(5.34), 'name_match': True}, 'sina': {'found': True, 'name': '湖南投资', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '湖南投资', 'price': np.float64(5.34), 'name_match': True}, 'eastmoney': {'found': True, 'name': '湖南投资', 'price': np.float64(0.0), 'name_match': True}}"
000586,11.12,匹配成功,000586,000586,汇源通信,0.0,11.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,100.0%,100.0%,4,汇源通信,"{'akshare': {'found': True, 'name': '汇源通信', 'price': np.float64(11.12), 'name_match': True}, 'sina': {'found': True, 'name': '汇源通信', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '汇源通信', 'price': np.float64(11.12), 'name_match': True}, 'eastmoney': {'found': True, 'name': '汇源通信', 'price': np.float64(0.0), 'name_match': True}}"
000676,9.12,匹配成功,000676,000676,智度股份,0.0,9.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,100.0%,100.0%,4,智度股份,"{'akshare': {'found': True, 'name': '智度股份', 'price': np.float64(9.12), 'name_match': True}, 'sina': {'found': True, 'name': '智度股份', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '智度股份', 'price': np.float64(9.12), 'name_match': True}, 'eastmoney': {'found': True, 'name': '智度股份', 'price': np.float64(0.0), 'name_match': True}}"
000850,4.46,匹配成功,000850,000850,华茂股份,0.0,4.46,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,100.0%,100.0%,4,华茂股份,"{'akshare': {'found': True, 'name': '华茂股份', 'price': np.float64(4.46), 'name_match': True}, 'sina': {'found': True, 'name': '华茂股份', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '华茂股份', 'price': np.float64(4.46), 'name_match': True}, 'eastmoney': {'found': True, 'name': '华茂股份', 'price': np.float64(0.0), 'name_match': True}}"
000878,12.72,匹配成功,000878,000878,云南铜业,0.0,12.72,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,100.0%,3,云南铜业,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=17&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '云南铜业', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '云南铜业', 'price': np.float64(12.72), 'name_match': True}, 'eastmoney': {'found': True, 'name': '云南铜业', 'price': np.float64(0.0), 'name_match': True}}"
000960,15.3,匹配成功,000960,000960,锡业股份,0.0,15.3,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,100.0%,3,锡业股份,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=15&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '锡业股份', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '锡业股份', 'price': np.float64(15.3), 'name_match': True}, 'eastmoney': {'found': True, 'name': '锡业股份', 'price': np.float64(0.0), 'name_match': True}}"
000995,14.61,匹配成功,000995,000995,皇台酒业,0.0,14.61,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,100.0%,3,皇台酒业,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=16&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '皇台酒业', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '皇台酒业', 'price': np.float64(14.61), 'name_match': True}, 'eastmoney': {'found': True, 'name': '皇台酒业', 'price': np.float64(0.0), 'name_match': True}}"
002023,10.82,匹配成功,002023,002023,海特高新,0.0,10.82,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,100.0%,3,海特高新,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=15&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '海特高新', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '海特高新', 'price': np.float64(10.82), 'name_match': True}, 'eastmoney': {'found': True, 'name': '海特高新', 'price': np.float64(0.0), 'name_match': True}}"
002350,6.86,匹配成功,002350,002350,北京科锐,0.0,6.86,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,100.0%,3,北京科锐,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '北京科锐', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '北京科锐', 'price': np.float64(6.86), 'name_match': True}, 'eastmoney': {'found': True, 'name': '北京科锐', 'price': np.float64(0.0), 'name_match': True}}"
300099,7.34,匹配成功,300099,300099,精准信息,0.0,7.34,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0,75.0%,66.7%,3,精准信息,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '精准信息', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '尤洛卡', 'price': np.float64(7.34), 'name_match': False}, 'eastmoney': {'found': True, 'name': '精准信息', 'price': np.float64(0.0), 'name_match': True}}"
