原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
676,9.05,匹配成功,600676,600676,交运股份,0.0,9.05,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
712,13.27,匹配成功,000712,000712,锦龙股份,0.0,13.27,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
2148,7.15,匹配成功,002148,002148,北纬科技,0.0,7.15,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
300079,5.83,匹配成功,300079,300079,数码视讯,0.0,5.83,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600182,15.68,匹配成功,600182,600182,SST佳通,0.0,15.68,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600536,46.42,匹配成功,600536,600536,中国软件,0.0,46.42,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600737,9.55,匹配成功,600737,600737,中粮糖业,0.0,9.55,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
