原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
'301132,31.68,匹配成功,301132,301132,N满坤,0.0,31.68,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,N满坤,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'N满坤', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '满坤科技', 'price': np.float64(31.68), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'N满坤', 'price': np.float64(0.0), 'name_match': True}}"
'301169,41.12,匹配成功,301169,301169,N零点,0.0,41.12,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,N零点,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'N零点', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '零点有数', 'price': np.float64(41.12), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'N零点', 'price': np.float64(0.0), 'name_match': True}}"
'301208,44.37,匹配成功,301208,301208,C中亦,0.0,44.37,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,C中亦,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'C中亦', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '中亦科技', 'price': np.float64(44.37), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'C中亦', 'price': np.float64(0.0), 'name_match': True}}"
'301251,37.13,匹配成功,301251,301251,威尔高,0.0,37.13,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,威尔高,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '威尔高', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '威尔高', 'price': np.float64(37.13), 'name_match': True}, 'eastmoney': {'found': True, 'name': '威尔高', 'price': np.float64(0.0), 'name_match': True}}"
'301338,41.5,匹配成功,301338,301338,N凯格,0.0,41.5,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,N凯格,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'N凯格', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '凯格精机', 'price': np.float64(41.5), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'N凯格', 'price': np.float64(0.0), 'name_match': True}}"
'301362,40.07,匹配成功,301362,301362,民爆光电,0.0,40.07,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,民爆光电,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '民爆光电', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '民爆光电', 'price': np.float64(40.07), 'name_match': True}, 'eastmoney': {'found': True, 'name': '民爆光电', 'price': np.float64(0.0), 'name_match': True}}"
'600379,11.13,匹配成功,600379,600379,宝光股份,0.0,11.13,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,宝光股份,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '宝光股份', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '宝光股份', 'price': np.float64(11.13), 'name_match': True}, 'eastmoney': {'found': True, 'name': '宝光股份', 'price': np.float64(0.0), 'name_match': True}}"
'600435,11.82,匹配成功,600435,600435,北方导航,0.0,11.82,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,北方导航,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '北方导航', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '北方导航', 'price': np.float64(11.82), 'name_match': True}, 'eastmoney': {'found': True, 'name': '北方导航', 'price': np.float64(0.0), 'name_match': True}}"
'600775,10.55,匹配成功,600775,600775,南京熊猫,0.0,10.55,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,南京熊猫,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '南京熊猫', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '南京熊猫', 'price': np.float64(10.55), 'name_match': True}, 'eastmoney': {'found': True, 'name': '南京熊猫', 'price': np.float64(0.0), 'name_match': True}}"
'600875,16.85,匹配成功,600875,600875,东方电气,0.0,16.85,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,东方电气,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '东方电气', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '东方电气', 'price': np.float64(16.85), 'name_match': True}, 'eastmoney': {'found': True, 'name': '东方电气', 'price': np.float64(0.0), 'name_match': True}}"
