原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'300457,20.79,匹配成功,300457,300457,赢合科技,0.0,20.79,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'301520,45.56,匹配成功,301520,301520,万邦医药,0.0,45.56,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'600775,11.07,匹配成功,600775,600775,南京熊猫,0.0,11.07,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'603215,21.14,匹配成功,603215,603215,N比依,0.0,21.14,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
