原始代码,参考价格,匹配状态,标准化代码,股票名称,当前价格,价格差异,匹配类型
'000037,9.58,未找到匹配,000037,,,,代码不存在
'000603,15.61,未找到匹配,000603,,,,代码不存在
'000798,7.89,未找到匹配,000798,,,,代码不存在
