原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
'000543,7.44,匹配成功,000543,000543,皖能电力,0.0,7.44,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,皖能电力,"{'akshare': {'found': True, 'name': '皖能电力', 'price': np.float64(7.51), 'name_match': True}, 'sina': {'found': True, 'name': '皖能电力', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '皖能电力', 'price': np.float64(7.51), 'name_match': True}, 'eastmoney': {'found': True, 'name': '皖能电力', 'price': np.float64(0.0), 'name_match': True}}"
'600018,5.8,匹配成功,600018,600018,上港集团,0.0,5.8,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,上港集团,"{'akshare': {'found': True, 'name': '上港集团', 'price': np.float64(5.82), 'name_match': True}, 'sina': {'found': True, 'name': '上港集团', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '上港集团', 'price': np.float64(5.81), 'name_match': True}, 'eastmoney': {'found': True, 'name': '上港集团', 'price': np.float64(0.0), 'name_match': True}}"
'600028,5.96,匹配成功,600028,600028,中国石化,0.0,5.96,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,50.0%,4,中国石化,"{'akshare': {'found': True, 'name': 'XD中国石', 'price': np.float64(5.76), 'name_match': False}, 'sina': {'found': True, 'name': '中国石化', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': 'XD中国石', 'price': np.float64(5.76), 'name_match': False}, 'eastmoney': {'found': True, 'name': '中国石化', 'price': np.float64(0.0), 'name_match': True}}"
'600685,25.09,匹配成功,600685,600685,中船防务,0.0,25.09,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,中船防务,"{'akshare': {'found': True, 'name': '中船防务', 'price': np.float64(25.34), 'name_match': True}, 'sina': {'found': True, 'name': '中船防务', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '中船防务', 'price': np.float64(25.34), 'name_match': True}, 'eastmoney': {'found': True, 'name': '中船防务', 'price': np.float64(0.0), 'name_match': True}}"
'601668,5.75,匹配成功,601668,601668,中国建筑,0.0,5.75,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,中国建筑,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=58&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '中国建筑', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '中国建筑', 'price': np.float64(5.74), 'name_match': True}, 'eastmoney': {'found': True, 'name': '中国建筑', 'price': np.float64(0.0), 'name_match': True}}"
