原始代码,参考价格,匹配状态,标准化代码,股票名称,当前价格,价格差异,匹配类型
'300457,20.79,未找到匹配,300457,,,,代码不存在
'301520,45.56,未找到匹配,301520,,,,代码不存在
'600775,11.07,未找到匹配,600775,,,,代码不存在
'603215,21.14,未找到匹配,603215,,,,代码不存在
