原始代码,参考价格,匹配状态,标准化代码,股票名称,当前价格,价格差异,匹配类型
'000037,9.58,未找到匹配,000037,,,,代码不存在
'000603,15.61,未找到匹配,000603,,,,代码不存在
'000798,7.89,未找到匹配,000798,,,,代码不存在
'000823,10.74,未找到匹配,000823,,,,代码不存在
'000970,12.35,未找到匹配,000970,,,,代码不存在
'000985,18.54,未找到匹配,000985,,,,代码不存在
'001259,26.16,未找到匹配,001259,,,,代码不存在
'001368,23.37,未找到匹配,001368,,,,代码不存在
'002132,3.55,未找到匹配,002132,,,,代码不存在
'002208,7.43,未找到匹配,002208,,,,代码不存在
'002300,6.79,未找到匹配,002300,,,,代码不存在
'002352,49.68,未找到匹配,002352,,,,代码不存在
'300457,20.45,未找到匹配,300457,,,,代码不存在
'300479,21.5,未找到匹配,300479,,,,代码不存在
'300585,15.43,未找到匹配,300585,,,,代码不存在
'300943,16.02,未找到匹配,300943,,,,代码不存在
'301048,11.04,未找到匹配,301048,,,,代码不存在
'301176,17.69,未找到匹配,301176,,,,代码不存在
'301208,43.33,未找到匹配,301208,,,,代码不存在
'301292,16.33,未找到匹配,301292,,,,代码不存在
'301380,50.8,未找到匹配,301380,,,,代码不存在
'301520,46.71,未找到匹配,301520,,,,代码不存在
'600435,11.66,未找到匹配,600435,,,,代码不存在
'600458,12.79,未找到匹配,600458,,,,代码不存在
'600470,6.3,未找到匹配,600470,,,,代码不存在
'600549,21.06,未找到匹配,600549,,,,代码不存在
'600775,10.65,未找到匹配,600775,,,,代码不存在
'600855,13.43,未找到匹配,600855,,,,代码不存在
'600875,16.85,未找到匹配,600875,,,,代码不存在
'601059,16.74,未找到匹配,601059,,,,代码不存在
'601555,8.74,未找到匹配,601555,,,,代码不存在
'601788,17.93,未找到匹配,601788,,,,代码不存在
'601857,9.18,未找到匹配,601857,,,,代码不存在
'601872,6.69,未找到匹配,601872,,,,代码不存在
'601916,3.44,未找到匹配,601916,,,,代码不存在
'601958,10.98,未找到匹配,601958,,,,代码不存在
'603069,19.49,未找到匹配,603069,,,,代码不存在
'603097,23.62,未找到匹配,603097,,,,代码不存在
'603215,19.22,未找到匹配,603215,,,,代码不存在
'603232,15.46,未找到匹配,603232,,,,代码不存在
'603722,43.2,未找到匹配,603722,,,,代码不存在
'605056,15.37,未找到匹配,605056,,,,代码不存在
'688143,34.89,未找到匹配,688143,,,,代码不存在
'688151,19.56,未找到匹配,688151,,,,代码不存在
'688498,154.98,未找到匹配,688498,,,,代码不存在
