原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
'000037,9.58,匹配成功(低置信度),000037,000037,深南电A,9.58,0.0,代码标准化匹配 - 建议人工确认,2.57,0.24,314065.0,299359039.23,-117.32,3.92,25.0%,100.0%,1,深南电A,"{'akshare': {'found': True, 'name': '深南电A', 'price': np.float64(9.58), 'name_match': True}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'000603,15.61,匹配成功(低置信度),000603,000603,盛达资源,15.61,0.0,代码标准化匹配 - 建议人工确认,1.36,0.21,200903.0,315195165.7,325.03,3.63,25.0%,100.0%,1,盛达资源,"{'akshare': {'found': True, 'name': '盛达资源', 'price': np.float64(15.61), 'name_match': True}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'000798,7.89,匹配成功(低置信度),000798,000798,中水渔业,7.89,0.0,代码标准化匹配 - 建议人工确认,2.87,0.22,407211.0,330682710.11,-44.94,8.43,25.0%,100.0%,1,中水渔业,"{'akshare': {'found': True, 'name': '中水渔业', 'price': np.float64(7.89), 'name_match': True}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'000823,10.74,匹配成功(低置信度),000823,000823,超声电子,10.74,0.0,代码标准化匹配 - 建议人工确认,0.94,0.1,93698.0,99979023.14,34.52,1.23,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=57&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'000970,12.35,匹配成功(低置信度),000970,000970,中科三环,12.35,0.0,代码标准化匹配 - 建议人工确认,-0.24,-0.03,507776.0,630414422.29,278.25,2.33,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'000985,18.54,匹配成功(低置信度),000985,000985,大庆华科,18.54,0.0,代码标准化匹配 - 建议人工确认,2.15,0.39,47769.0,87880196.75,84.31,3.96,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'001259,26.16,匹配成功(低置信度),001259,001259,利仁科技,26.16,0.0,代码标准化匹配 - 建议人工确认,-0.87,-0.23,31735.0,83289639.9,227.15,2.7,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'001368,23.37,匹配成功(低置信度),001368,001368,通达创智,23.37,0.0,代码标准化匹配 - 建议人工确认,-0.85,-0.2,24571.0,57374031.4,23.69,1.94,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'002132,3.55,匹配成功(低置信度),002132,002132,恒星科技,3.55,0.0,代码标准化匹配 - 建议人工确认,2.6,0.09,661966.0,234398762.0,219.38,1.41,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
'002208,7.43,匹配成功(低置信度),002208,002208,合肥城建,7.43,0.0,代码标准化匹配 - 建议人工确认,-0.8,-0.06,960148.0,723076644.02,161.47,0.92,0.0%,0.0%,0,,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'tencent': {'found': False, 'name': None, 'price': None, 'name_match': False}, 'eastmoney': {'found': False, 'name': None, 'price': None, 'name_match': False}}"
