原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
000702,7.31,匹配成功,000702,000702,正虹科技,0.0,7.31,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002148,7.12,匹配成功,002148,002148,北纬科技,0.0,7.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002208,7.17,匹配成功,002208,002208,合肥城建,0.0,7.17,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300079,5.81,匹配成功,300079,300079,数码视讯,0.0,5.81,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300479,21.87,匹配成功,300479,300479,神思电子,0.0,21.87,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300930,28.45,匹配成功,300930,300930,屹通新材,0.0,28.45,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600237,7.14,匹配成功,600237,600237,铜峰电子,0.0,7.14,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600458,13.01,匹配成功,600458,600458,时代新材,0.0,13.01,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600470,6.21,匹配成功,600470,600470,六国化工,0.0,6.21,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600549,21.37,匹配成功,600549,600549,厦门钨业,0.0,21.37,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600731,7.07,匹配成功,600731,600731,湖南海利,0.0,7.07,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600749,11.78,匹配成功,600749,600749,西藏旅游,0.0,11.78,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600879,9.67,匹配成功,600879,600879,航天电子,0.0,9.67,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601318,57.18,匹配成功,601318,601318,中国平安,0.0,57.18,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601901,7.98,匹配成功,601901,601901,方正证券,0.0,7.98,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
605218,22.47,匹配成功,605218,605218,伟时电子,0.0,22.47,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
