原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
2148,7.13,匹配成功,002148,002148,北纬科技,0.0,7.13,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
300079,5.86,匹配成功,300079,300079,数码视讯,0.0,5.86,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300479,22.65,匹配成功,300479,300479,神思电子,0.0,22.65,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300582,12.87,匹配成功,300582,300582,英飞特,0.0,12.87,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600776,11.05,匹配成功,600776,600776,东方通信,0.0,11.05,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600461,9.8,匹配成功,600461,600461,洪城环境,0.0,9.8,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
601816,5.85,匹配成功,601816,601816,京沪高铁,0.0,5.85,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
