股票代码,买入价格,止盈价格,止损价格
676,9.05,9.955,8.5975
712,13.27,14.597,12.6065
2148,7.15,7.865,6.7925
300079,5.83,6.413,5.5385
600182,15.68,17.248,14.896
600536,46.42,51.062,44.099
600737,9.55,10.63,8.99
