股票代码,入选时间,买入价格,操作,止盈价格,止损价格,满足量比换手率条件,测试时间
'300457,2025-06-18 09:38:43,20.79,买入,22.86,19.75,True,2025-06-18 09:38:43
'301520,2025-06-18 09:38:43,45.56,买入,50.11,43.28,True,2025-06-18 09:38:43
'600775,2025-06-18 09:38:43,11.07,买入,12.17,10.51,True,2025-06-18 09:38:43
'603215,2025-06-18 09:38:43,21.14,买入,23.25,20.08,True,2025-06-18 09:38:43
