股票代码,入选时间,买入价格,操作,止盈价格,止损价格
'000852,2025-06-23 15:59:37,6.84,买入,7.524,6.498
'000995,2025-06-23 15:59:37,14.65,买入,16.115,13.9175
'300079,2025-06-23 15:59:37,5.73,买入,6.303,5.4435
'300120,2025-06-23 15:59:37,9.02,买入,9.922,8.569
'300479,2025-06-23 15:59:37,21.61,买入,23.771,20.5295
'300505,2025-06-23 15:59:37,18.7,买入,20.57,17.765
'300930,2025-06-23 15:59:37,27.5,买入,30.25,26.125
'301311,2025-06-23 15:59:37,20.15,买入,22.165,19.1425
'600435,2025-06-23 15:59:37,11.96,买入,13.156,11.362
'600458,2025-06-23 15:59:37,12.84,买入,14.124,12.198
'600879,2025-06-23 15:59:37,9.27,买入,10.197,8.8065
