股票代码,入选时间,买入价格,操作,止盈价格,止损价格
'000045,2025-06-06 18:19:44,11.51,买入,13.1674,11.0
'000548,2025-06-06 18:19:44,5.38,买入,6.1547,5.3
'000586,2025-06-06 18:19:44,10.85,买入,12.4124,10.12
'000603,2025-06-06 18:19:44,15.4,买入,23.104,11.53
'000688,2025-06-06 18:19:44,12.86,买入,13.2056,11.97
'000823,2025-06-06 18:19:44,10.51,买入,12.0234,10.21
'000981,2025-06-06 18:19:44,2.19,买入,2.5054,2.11
'001258,2025-06-06 18:19:44,7.33,买入,9.7204,6.83
'002097,2025-06-06 18:19:44,8.03,买入,8.4332,7.09
'002184,2025-06-06 18:19:44,13.1,买入,14.252,11.59
'002237,2025-06-06 18:19:44,11.56,买入,14.1664,10.69
'002337,2025-06-06 18:19:44,5.91,买入,6.0828,5.74
'002544,2025-06-06 18:19:44,23.25,买入,29.298,21.59
'003009,2025-06-06 18:19:44,44.09,买入,48.4532,36.7
'300018,2025-06-06 18:19:44,7.5,买入,8.58,7.16
'300470,2025-06-06 18:19:44,37.08,买入,41.3136,35.51
'300578,2025-06-06 18:19:44,20.35,买入,23.2804,19.35
'300866,2025-06-06 18:19:44,105.42,买入,120.6005,96.83
'301035,2025-06-06 18:19:44,58.43,买入,66.8439,53.75
'301270,2025-06-06 18:19:44,40.6,买入,46.4464,37.36
'600008,2025-06-06 18:19:44,3.2,买入,3.2864,3.12
'600073,2025-06-06 18:19:44,8.29,买入,9.4838,7.8
'600118,2025-06-06 18:19:44,27.46,买入,28.18,27.35
'600302,2025-06-06 18:19:44,5.84,买入,6.1136,5.5
'600808,2025-06-06 18:19:44,3.42,买入,3.6072,3.4
'600819,2025-06-06 18:19:44,6.1,买入,6.9784,5.49
'600846,2025-06-06 18:19:44,9.96,买入,10.464,9.23
'600879,2025-06-06 18:19:44,9.13,买入,10.9732,8.75
'603069,2025-06-06 18:19:44,19.14,买入,20.4504,18.07
