股票代码,入选时间,买入价格,操作,止盈价格,止损价格
'000037,2025-06-17 17:15:01,9.58,买入,10.538,9.101
'000603,2025-06-17 17:15:01,15.61,买入,17.171,14.8295
'000798,2025-06-17 17:15:01,7.89,买入,8.679,7.4955
'000823,2025-06-17 17:15:01,10.74,买入,11.814,10.203
'000970,2025-06-17 17:15:01,12.35,买入,13.585,11.7325
'000985,2025-06-17 17:15:01,18.54,买入,20.394,17.613
'001259,2025-06-17 17:15:01,26.16,买入,28.776,24.852
'001368,2025-06-17 17:15:01,23.37,买入,25.707,22.2015
'002132,2025-06-17 17:15:01,3.55,买入,3.905,3.3725
'002208,2025-06-17 17:15:01,7.43,买入,8.173,7.0585
'002300,2025-06-17 17:15:01,6.79,买入,7.469,6.4505
'002352,2025-06-17 17:15:01,49.68,买入,54.648,47.196
'300457,2025-06-17 17:15:01,20.45,买入,22.495,19.4275
'300479,2025-06-17 17:15:01,21.5,买入,23.65,20.425
'300585,2025-06-17 17:15:01,15.43,买入,16.973,14.6585
'300943,2025-06-17 17:15:01,16.02,买入,17.622,15.219
'301048,2025-06-17 17:15:01,11.04,买入,12.144,10.488
'301176,2025-06-17 17:15:01,17.69,买入,19.459,16.8055
'301208,2025-06-17 17:15:01,43.33,买入,47.663,41.1635
'301292,2025-06-17 17:15:01,16.33,买入,17.963,15.5135
'301380,2025-06-17 17:15:01,50.8,买入,55.88,48.26
'301520,2025-06-17 17:15:01,46.71,买入,51.381,44.3745
'600435,2025-06-17 17:15:01,11.66,买入,12.826,11.077
'600458,2025-06-17 17:15:01,12.79,买入,14.069,12.1505
'600470,2025-06-17 17:15:01,6.3,买入,6.93,5.985
'600549,2025-06-17 17:15:01,21.06,买入,23.166,20.007
'600775,2025-06-17 17:15:01,10.65,买入,11.715,10.1175
'600855,2025-06-17 17:15:01,13.43,买入,14.773,12.7585
'600875,2025-06-17 17:15:01,16.85,买入,18.535,16.0075
'601059,2025-06-17 17:15:01,16.74,买入,18.414,15.903
'601555,2025-06-17 17:15:01,8.74,买入,9.614,8.303
'601788,2025-06-17 17:15:01,17.93,买入,19.723,17.0335
'601857,2025-06-17 17:15:01,9.18,买入,10.098,8.721
'601872,2025-06-17 17:15:01,6.69,买入,7.359,6.3555
'601916,2025-06-17 17:15:01,3.44,买入,3.784,3.268
'601958,2025-06-17 17:15:01,10.98,买入,12.078,10.431
'603069,2025-06-17 17:15:01,19.49,买入,21.439,18.5155
'603097,2025-06-17 17:15:01,23.62,买入,25.982,22.439
'603215,2025-06-17 17:15:01,19.22,买入,21.142,18.259
'603232,2025-06-17 17:15:01,15.46,买入,17.006,14.687
'603722,2025-06-17 17:15:01,43.2,买入,47.52,41.04
'605056,2025-06-17 17:15:01,15.37,买入,16.907,14.6015
'688143,2025-06-17 17:15:01,34.89,买入,38.379,33.1455
'688151,2025-06-17 17:15:01,19.56,买入,21.516,18.582
'688498,2025-06-17 17:15:01,154.98,买入,170.478,147.231
