股票代码,买入价格,止盈价格,止损价格
000995,14.85,16.335,14.1075
002148,7.17,7.887,6.8115
300079,5.74,6.314,5.453
300120,9.03,9.933,8.5785
600879,9.28,10.208,8.816
300236,37.59,41.02,34.69
601668,5.8,6.05,5.63
